iter	Logloss
0	0.6876250373
1	0.6836124929
2	0.6779095406
3	0.6713665443
4	0.6651192146
5	0.6607680284
6	0.6539932755
7	0.6481406839
8	0.6407985549
9	0.6363943684
10	0.6289523569
11	0.6240701356
12	0.6228411768
13	0.6156237717
14	0.6089856476
15	0.6044509137
16	0.5995635693
17	0.5932998014
18	0.5886878521
19	0.5848659689
20	0.5799276512
21	0.575409503
22	0.5726506853
23	0.5685581613
24	0.5645667729
25	0.5594543798
26	0.5541783417
27	0.5499320505
28	0.5467901046
29	0.5422827923
30	0.5383546136
31	0.5325608088
32	0.5280181507
33	0.5225092504
34	0.5168654166
35	0.5128775296
36	0.5087823519
37	0.5049742901
38	0.5010784717
39	0.4971689795
40	0.4934069151
41	0.4918933468
42	0.4869601155
43	0.4824857533
44	0.4781386583
45	0.4742957297
46	0.469637525
47	0.4661669992
48	0.4616097826
49	0.4573141399
50	0.4540123453
51	0.4500158338
52	0.4465719187
53	0.4434202057
54	0.4398577218
55	0.4360184052
56	0.4354434734
57	0.4321278943
58	0.4283411357
