iter	Passed	Remaining
0	138	55221
1	314	62563
2	496	65728
3	680	67330
4	912	72105
5	1176	77269
6	1394	78275
7	1702	83407
8	1976	85848
9	2155	84076
10	2343	82863
11	2512	81240
12	2515	74881
13	2687	74110
14	2853	73245
15	3025	72616
16	3263	73518
17	3454	73303
18	3657	73350
19	3855	73263
20	4048	73057
21	4246	72962
22	4436	72722
23	4637	72647
24	4808	72124
25	5034	72417
26	5204	71895
27	5374	71399
28	5542	70906
29	5709	70421
30	5879	69989
31	6046	69535
32	6223	69216
33	6396	68851
34	6584	68663
35	6781	68570
36	6950	68192
37	7118	67815
38	7300	67574
39	7473	67258
40	7641	66906
41	7645	65171
42	7820	64924
43	7989	64643
44	8158	64365
45	8324	64065
46	8494	63800
47	8693	63750
48	8858	63457
49	9052	63369
50	9236	63207
51	9430	63113
52	9627	63035
53	9823	62941
54	10109	63417
55	10321	63405
56	10323	62121
57	10531	62101
58	10809	62475
